"cve_entidad","entidad","anio","poblacion"
"01","Aguascalientes",2010,1184996
"02","Baja California",2010,3155070
"03","Baja California Sur",2010,637026
"04","Campeche",2010,822441
"05","Coahuila de Zaragoza",2010,2748391
"06","Colima",2010,650555
"07","Chiapas",2010,4796580
"08","Chihuahua",2010,3406465
"09","Distrito Federal",2010,8851080
"10","Durango",2010,1632934
"11","Guanajuato",2010,5486372
"12","Guerrero",2010,3388768
"13","Hidalgo",2010,2665018
"14","Jalisco",2010,7350682
"15","México",2010,15175862
"16","Michoacán de Ocampo",2010,4351037
"17","Morelos",2010,1777227
"18","Nayarit",2010,1084979
"19","Nuevo León",2010,4653458
"20","Oaxaca",2010,3801962
"21","Puebla",2010,5779829
"22","Querétaro",2010,1827937
"23","Quintana Roo",2010,1325578
"24","San Luis Potosí",2010,2585518
"25","Sinaloa",2010,2767761
"26","Sonora",2010,2662480
"27","Tabasco",2010,2238603
"28","Tamaulipas",2010,3268554
"29","Tlaxcala",2010,1169936
"30","Veracruz de Ignacio de la Llave",2010,7643194
"31","Yucatán",2010,1955577
"32","Zacatecas",2010,1490668
"01","Aguascalientes",2020,1425607
"02","Baja California",2020,3769020
"03","Baja California Sur",2020,798447
"04","Campeche",2020,928363
"05","Coahuila de Zaragoza",2020,3146771
"06","Colima",2020,731391
"07","Chiapas",2020,5543828
"08","Chihuahua",2020,3741869
"09","Ciudad de México",2020,9209944
"10","Durango",2020,1832650
"11","Guanajuato",2020,6166934
"12","Guerrero",2020,3540685
"13","Hidalgo",2020,3082841
"14","Jalisco",2020,8348151
"15","México",2020,16992418
"16","Michoacán de Ocampo",2020,4748846
"17","Morelos",2020,1971520
"18","Nayarit",2020,1235456
"19","Nuevo León",2020,5784442
"20","Oaxaca",2020,4132148
"21","Puebla",2020,6583278
"22","Querétaro",2020,2368467
"23","Quintana Roo",2020,1857985
"24","San Luis Potosí",2020,2822255
"25","Sinaloa",2020,3026943
"26","Sonora",2020,2944840
"27","Tabasco",2020,2402598
"28","Tamaulipas",2020,3527735
"29","Tlaxcala",2020,1342977
"30","Veracruz de Ignacio de la Llave",2020,8062579
"31","Yucatán",2020,2320898
"32","Zacatecas",2020,1622138
"01","Aguascalientes",2015,1312544
"02","Baja California",2015,3315766
"03","Baja California Sur",2015,712029
"04","Campeche",2015,899931
"05","Coahuila de Zaragoza",2015,2954915
"06","Colima",2015,711235
"07","Chiapas",2015,5217908
"08","Chihuahua",2015,3556574
"09","Ciudad de México",2015,8918653
"10","Durango",2015,1754754
"11","Guanajuato",2015,5853677
"12","Guerrero",2015,3533251
"13","Hidalgo",2015,2858359
"14","Jalisco",2015,7844830
"15","México",2015,16187608
"16","Michoacán de Ocampo",2015,4584471
"17","Morelos",2015,1903811
"18","Nayarit",2015,1181050
"19","Nuevo León",2015,5119504
"20","Oaxaca",2015,3967889
"21","Puebla",2015,6168883
"22","Querétaro",2015,2038372
"23","Quintana Roo",2015,1501562
"24","San Luis Potosí",2015,2717820
"25","Sinaloa",2015,2966321
"26","Sonora",2015,2850330
"27","Tabasco",2015,2395272
"28","Tamaulipas",2015,3441698
"29","Tlaxcala",2015,1272847
"30","Veracruz de Ignacio de la Llave",2015,8112505
"31","Yucatán",2015,2097175
"32","Zacatecas",2015,1579209
